week_start,week_end,estimated_new_infections,date_estimated,date_released,test_positive,reached_positive,reached_positive_provided_contacts,identified_contacts,reached_contacts,%test_testpositive,%trace_reachedpositive,%trace_providedcontacts,%isolate_contactsreached
2020-05-28,2020-06-03,16500.0,2020-05-31,07/08/2020,8825.0,5935,3534,55043,50142,0.5348484848484848,0.3596969696969697,0.21418181818181817,0.19511118084538864
2020-06-04,2020-06-10,12500.0,2020-06-07,07/08/2020,6680.0,4601,2882,46585,42234,0.5344,0.36807999999999996,0.23056,0.20902588902007083
2020-06-11,2020-06-17,10600.0,2020-06-14,07/08/2020,6230.0,5260,3652,31913,26299,0.5877358490566038,0.4962264150943397,0.34452830188679245,0.2839203400282253
2020-06-18,2020-06-24,10000.0,2020-06-21,07/08/2020,5213.0,4872,3505,24241,17900,0.5213,0.4872,0.35050000000000003,0.2588156429190215
2020-06-25,2020-07-01,10500.0,2020-06-28,07/08/2020,4048.0,3458,2552,15411,11073,0.38552380952380955,0.32933333333333337,0.24304761904761907,0.17463281329662486
2020-07-02,2020-07-08,11500.0,2020-07-05,07/08/2020,3917.0,2855,2205,14110,10105,0.3406086956521739,0.24826086956521737,0.1917391304347826,0.13731565648784397
2020-07-09,2020-07-15,12200.0,2020-07-12,07/08/2020,4043.0,3162,2477,17306,13598,0.33139344262295084,0.2591803278688525,0.2030327868852459,0.15953078909427792
2020-07-16,2020-07-22,11900.0,2020-07-19,07/08/2020,4259.0,3482,2813,19638,14973,0.35789915966386554,0.29260504201680676,0.23638655462184877,0.18023301162811597
2020-07-23,2020-07-29,11200.0,2020-07-26,07/08/2020,5018.0,3750,2960,19184,13831,0.44803571428571426,0.33482142857142855,0.2642857142857143,0.19054085249612773
2020-07-30,2020-08-05,11900.0,2020-08-02,07/08/2020,5289.0,4007,3122,21400,16004,0.44445378151260506,0.3367226890756303,0.2623529411764706,0.19620076965365588
2020-08-06,2020-08-12,15700.0,2020-08-09,14/08/2020,6693.0,3794,2929,17375,12570,0.42630573248407644,0.24165605095541404,0.18656050955414014,0.13496780460981533
2020-08-13,2020-08-19,14600.0,2020-08-16,28/08/2020,6364.0,6057,4500,25927,20019,0.43589041095890413,0.41486301369863016,0.3082191780821918,0.23798510147828125
2020-08-20,2020-08-26,17200.0,2020-08-23,04/09/2020,6969.0,6424,5074,31951,22366,0.40517441860465114,0.37348837209302327,0.29500000000000004,0.20650276986635788
2020-08-27,2020-09-02,22200.0,2020-08-30,11/09/2020,10528.0,7505,6100,33236,23271,0.4742342342342342,0.33806306306306305,0.2747747747747748,0.19239029316956865
2020-09-03,2020-09-09,44100.0,2020-09-06,19/09/2020,18812.0,13180,10767,68816,52682,0.42657596371882084,0.29886621315192746,0.24414965986394557,0.1869084570587128
2020-09-10,2020-09-16,59600.0,2020-09-13,02/10/2020,19546.0,17436,14176,86840,67045,0.32795302013422817,0.2925503355704698,0.23785234899328858,0.1836343935773265
2020-09-17,2020-09-23,58800.0,2020-09-20,02/10/2020,32957.0,21894,18287,94368,68866,0.5604931972789116,0.3723469387755102,0.3110034013605442,0.22695786959663483
2020-09-24,2020-09-30,128300.0,2020-09-27,09/10/2020,51830.0,26023,21539,105643,73663,0.40397505845674203,0.20282930631332813,0.1678799688230709,0.11705974028959677
2020-10-01,2020-10-07,202500.0,2020-10-04,16/10/2020,85943.0,69381,58427,219856,138985,0.4244098765432099,0.3426222222222222,0.2885283950617284,0.18239720083897787
2020-10-08,2020-10-14,247500.0,2020-10-11,23/10/2020,96156.0,79241,66508,254264,152879,0.3885090909090909,0.32016565656565654,0.2687191919191919,0.16157034161900283
2020-10-15,2020-10-21,315500.0,2020-10-18,06/11/2020,118915.0,100773,83636,287191,174352,0.3769096671949287,0.31940729001584783,0.2650903328050713,0.16093481239046417
2020-10-22,2020-10-28,319800.0,2020-10-25,06/11/2020,127883.0,118181,96012,329505,198771,0.39988430268918074,0.36954659161976233,0.3002251407129456,0.18110818180195418
2020-10-29,2020-11-04,300200.0,2020-11-01,20/11/2020,138263.0,122152,99465,315434,190969,0.46056962025316456,0.4069020652898068,0.3313291139240506,0.2005921668461929
2020-11-05,2020-11-11,272600.0,2020-11-08,20/11/2020,153489.0,135614,110094,314853,191308,0.5630557593543654,0.497483492296405,0.4038664710198092,0.24539352281178095
2020-11-12,2020-11-18,244500.0,2020-11-15,04/12/2020,136118.0,135362,108385,348633,211091,0.556719836400818,0.5536278118609407,0.44329243353783226,0.26840558147947713
2020-11-19,2020-11-25,179700.0,2020-11-22,04/12/2020,95012.0,100817,78681,247325,179820,0.528725653867557,0.5610294936004452,0.4378464106844741,0.3183404086496801
2020-11-26,2020-12-02,,,,84670.0,79965,60526,197272,169444,,,,
2020-12-03,2020-12-09,,,,97952.0,85061,64346,195716,181513,,,,
2020-12-10,2020-12-16,,,,161314.0,124252,97148,287858,266667,,,,
2020-12-17,2020-12-23,,,,233187.0,184038,144450,407631,377574,,,,
2020-12-24,2020-12-30,,,,295912.0,232482,184852,493684,455974,,,,
2020-12-31,2021-01-06,,,,356985.0,341683,264001,737044,683357,,,,
2021-01-07,2021-01-13,,,,295220.0,308377,228445,613827,570170,,,,
2021-01-14,2021-01-20,,,,237529.0,239786,176413,471490,439488,,,,
2021-01-21,2021-01-27,,,,165667.0,173632,128711,359086,336039,,,,
2021-01-28,2021-02-03,,,,125289.0,130551,96733,264666,247619,,,,
2021-02-04,2021-02-10,,,,88658.0,92913,68605,191337,179082,,,,
2021-02-11,2021-02-17,,,,70274.0,73701,54508,146867,137482,,,,
2021-02-18,2021-02-24,,,,57683.0,61621,46023,129320,120622,,,,
2021-02-25,2021-03-03,,,,36953.0,39674,30049,99038,90068,,,,
2021-03-04,2021-03-10,76700.0,2021-03-07,26/03/2021,32264.0,32610,26524,88433,79512,0.420651890482399,0.42516297262059977,0.3458148631029987,0.31092953303682597
2021-03-11,2021-03-17,72800.0,2021-03-13,26/03/2021,31289.0,30112,25109,99836,89397,0.42979395604395604,0.4136263736263736,0.3449038461538461,0.3088401892565345
2021-03-18,2021-03-24,80500.0,2021-03-20,01/04/2021,31030.0,28236,24130,94908,85772,0.38546583850931676,0.3507577639751553,0.2997515527950311,0.2708969758749042
2021-03-25,2021-03-31,112400.0,2021-03-27,09/04/2021,24541.0,23243,19844,83573,75140,0.21833629893238435,0.206788256227758,0.17654804270462635,0.15873332211151475
